Provider,PotentialFraud,Age,NumPhysiciansSeen,NumProcedures,NumDiagnosisClaims,InscClaimAmtReimbursed,DeductibleAmtPaid,NoOfMonths_PartACov,NoOfMonths_PartBCov,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke
PRV51023,False,73.30555555555556,1.3888888888888888,0.1388888888888889,4.861111111111111,1822.5,246.4,12.0,12.0,5320.277777777777,843.4444444444445,2475.5555555555557,769.4444444444445,16,21,16,5,10,16,21,30,9,8,5
PRV51024,False,68.66666666666667,1.3333333333333333,0.1794871794871795,3.923076923076923,1642.3076923076924,248.76923076923077,12.0,12.0,4566.666666666667,629.8461538461538,1973.076923076923,668.7179487179487,15,21,23,5,14,16,30,29,11,14,6
PRV51025,False,74.08045977011494,1.367816091954023,0.13793103448275862,3.9770114942528734,1360.344827586207,164.183908045977,12.0,12.0,4823.563218390805,552.4137931034483,2288.9655172413795,621.3793103448276,28,47,40,13,28,41,64,62,31,26,6
PRV51026,False,70.0657894736842,1.263157894736842,0.0,2.526315789473684,261.05263157894734,4.473684210526316,11.68421052631579,12.0,3971.0526315789475,461.05263157894734,1811.578947368421,680.3947368421053,30,33,30,11,15,39,56,50,17,23,6
PRV51027,False,73.54716981132076,1.0377358490566038,0.0,2.6037735849056602,563.0188679245283,0.0,11.773584905660377,11.962264150943396,6231.132075471698,705.2830188679245,3564.5283018867926,947.1698113207547,23,36,27,9,16,30,41,43,10,13,8
PRV51029,False,71.36559139784946,1.3010752688172043,0.0,3.021505376344086,329.6774193548387,1.7204301075268817,11.741935483870968,11.978494623655914,3849.032258064516,409.03225806451616,1660.967741935484,493.1182795698925,32,45,33,9,29,30,62,66,17,28,13
PRV51030,False,72.3391812865497,1.1754385964912282,0.3333333333333333,5.643274853801169,4326.081871345029,510.2823529411765,11.859649122807017,11.719298245614034,7453.333333333333,1009.4035087719299,2499.1812865497077,665.672514619883,73,111,81,30,65,76,125,138,48,59,13
PRV51031,False,73.14594594594594,1.3783783783783783,0.13513513513513514,3.6216216216216215,1944.4324324324325,163.48108108108107,11.935135135135136,11.972972972972974,6142.648648648648,709.9027027027028,1868.0,613.2432432432432,90,128,89,19,71,81,130,151,85,54,19
PRV51032,False,69.78260869565217,1.2173913043478262,0.0,2.652173913043478,235.65217391304347,2.1739130434782608,11.478260869565217,12.0,8186.086956521739,1099.6521739130435,1402.608695652174,423.9130434782609,9,15,10,5,8,11,16,16,4,5,3
PRV51035,False,74.5,1.3,0.03333333333333333,2.6333333333333333,1085.3333333333333,47.6,12.0,11.7,3605.3333333333335,356.0,1332.0,439.3333333333333,8,18,18,4,11,18,22,24,10,7,8
PRV51036,False,73.17625899280576,1.079136690647482,0.0,2.7661870503597124,269.3525179856115,5.071942446043166,11.863309352517986,11.43525179856115,5654.3165467625895,585.0935251798561,2070.5755395683454,512.0863309352518,99,159,109,31,95,132,201,201,95,82,19
PRV51037,True,72.36563876651982,1.1806167400881058,0.028634361233480177,3.20704845814978,753.8105726872246,56.220264317180614,11.973568281938325,11.931718061674008,3989.911894273128,644.7136563876652,2154.0308370044054,573.7444933920705,195,271,181,104,155,205,311,363,168,132,29
PRV51038,False,72.0,1.3617021276595744,0.10638297872340426,3.595744680851064,1882.9078014184397,222.8,11.914893617021276,11.936170212765957,4961.276595744681,628.6808510638298,2191.1347517730496,622.9787234042553,70,88,65,27,43,63,109,112,46,46,14
PRV51040,False,71.65116279069767,1.2209302325581395,0.08139534883720931,3.697674418604651,865.9302325581396,103.34117647058824,11.790697674418604,12.0,7919.53488372093,574.7441860465116,2433.0232558139537,601.8604651162791,35,54,33,7,25,41,63,66,21,20,11
PRV51041,False,70.82352941176471,1.1176470588235294,0.0,2.6470588235294117,217.94117647058823,7.9411764705882355,12.0,12.0,1373.5294117647059,251.2941176470588,2287.6470588235293,613.8235294117648,16,17,7,10,10,15,22,24,7,9,2
PRV51042,False,73.14788732394366,1.471830985915493,0.0,2.732394366197183,338.38028169014086,2.183098591549296,12.0,11.830985915492958,4791.478873239436,488.8732394366197,2390.4225352112676,683.943661971831,50,74,58,20,41,56,87,108,33,38,13
PRV51043,False,74.56521739130434,1.1304347826086956,0.0,2.0869565217391304,194.7826086956522,0.0,12.0,12.0,3136.9565217391305,371.4782608695652,1605.2173913043478,550.4347826086956,8,16,7,3,8,9,18,15,9,5,0
PRV51044,False,69.55932203389831,1.0,0.0,2.5762711864406778,361.52542372881356,2.2033898305084745,12.0,12.0,3621.6949152542375,367.1186440677966,2770.508474576271,968.1355932203389,22,34,30,7,19,22,35,50,22,21,4
PRV51045,False,71.96774193548387,1.2258064516129032,0.0,2.806451612903226,270.64516129032256,1.2903225806451613,12.0,12.0,3838.3870967741937,516.7741935483871,1972.9032258064517,548.0645161290323,16,17,15,3,15,13,23,23,6,6,2
PRV51046,False,72.63157894736842,1.2105263157894737,0.13157894736842105,3.736842105263158,2878.157894736842,227.47368421052633,11.68421052631579,11.68421052631579,5885.789473684211,562.1052631578947,2156.5789473684213,673.1578947368421,14,21,12,13,15,18,31,35,15,17,3
PRV51047,False,71.0,1.1818181818181819,0.0,2.272727272727273,230.0,0.0,12.0,12.0,4106.363636363636,661.0909090909091,1662.7272727272727,692.7272727272727,3,6,4,0,4,4,7,7,3,4,1
PRV51048,False,70.78947368421052,1.1578947368421053,0.07894736842105263,3.1578947368421053,728.9473684210526,114.52631578947368,11.68421052631579,12.0,4223.684210526316,449.6842105263158,2144.4736842105262,560.7894736842105,22,22,14,5,13,20,32,31,8,19,1
PRV51049,False,71.22535211267606,1.2535211267605635,0.0,2.788732394366197,305.9154929577465,2.676056338028169,11.661971830985916,11.830985915492958,2363.6619718309857,530.9859154929577,3230.9859154929577,1044.0845070422536,33,45,30,13,34,33,49,44,22,21,7
PRV51052,True,72.0,1.1304347826086956,0.021739130434782608,3.5217391304347827,669.5652173913044,51.0,11.73913043478261,12.0,2940.4347826086955,417.9130434782609,2126.7391304347825,499.3478260869565,15,29,18,6,12,19,27,32,15,13,5
PRV51053,False,69.0,2.0,1.0,10.0,8000.0,1068.0,12.0,12.0,8000.0,1068.0,90.0,0.0,0,1,1,0,0,1,0,1,0,0,0
PRV51054,False,70.84210526315789,1.1228070175438596,0.0,2.7017543859649122,265.43859649122805,2.456140350877193,11.789473684210526,11.947368421052632,2494.7368421052633,206.10526315789474,2455.964912280702,875.7894736842105,21,28,25,2,20,24,29,29,6,7,6
PRV51055,False,69.31818181818181,1.0909090909090908,0.09090909090909091,3.8636363636363638,983.6363636363636,100.27272727272727,12.0,12.0,5162.272727272727,436.90909090909093,1344.090909090909,502.27272727272725,10,15,8,4,8,13,11,17,7,7,3
PRV51056,False,77.36363636363636,1.5454545454545454,0.09090909090909091,3.090909090909091,668.1818181818181,97.54545454545455,12.0,12.0,6709.545454545455,1019.4545454545455,3560.4545454545455,961.3636363636364,10,13,15,5,6,12,20,18,12,6,5
PRV51057,False,78.6,1.0,0.0,4.2,1366.0,0.0,12.0,12.0,12000.0,427.2,3138.0,874.0,0,4,1,2,1,0,1,5,0,2,0
PRV51058,False,73.92771084337349,1.3855421686746987,0.060240963855421686,3.5180722891566263,1289.5180722891566,66.74698795180723,12.0,12.0,5430.240963855422,628.0481927710844,2156.144578313253,663.9759036144578,31,44,34,9,23,40,62,66,31,26,9
PRV51059,True,74.5625,1.5104166666666667,0.25,4.46875,4386.041666666667,280.625,11.5,11.635416666666666,11978.854166666666,871.7916666666666,2192.0833333333335,394.7916666666667,31,62,38,15,29,37,62,66,28,26,10
PRV51060,False,71.92857142857143,1.3095238095238095,0.0,3.738095238095238,1040.7142857142858,127.14285714285714,11.428571428571429,11.785714285714286,3784.285714285714,584.8571428571429,1463.5714285714287,562.8571428571429,16,25,19,6,16,20,33,30,8,13,4
PRV51061,False,77.42758620689655,1.0482758620689656,0.013793103448275862,2.7379310344827585,378.8965517241379,9.158620689655173,11.972413793103449,12.0,4060.0,522.951724137931,3303.3793103448274,844.0689655172414,36,62,58,21,39,67,105,104,48,37,12
PRV51062,False,73.25944584382871,1.3929471032745593,0.012594458438287154,2.9395465994962215,386.3476070528967,9.934508816120907,11.909319899244332,11.851385390428211,7072.493702770781,629.5012594458439,2619.5465994962215,748.5642317380352,175,241,190,68,120,204,295,283,153,101,51
PRV51063,False,69.93288590604027,1.1275167785234899,0.0,2.7651006711409396,343.02013422818794,1.0738255033557047,11.838926174496644,12.0,4218.993288590604,344.0536912751678,3000.4026845637586,681.0402684563759,63,91,68,19,44,65,105,116,38,41,16
PRV51064,True,73.41584158415841,1.316831683168317,0.0858085808580858,3.603960396039604,1189.1749174917493,128.54125412541254,11.881188118811881,11.943894389438944,4816.732673267326,574.6930693069307,2739.1419141914193,734.3894389438943,110,191,139,39,107,145,221,239,101,92,41
PRV51065,False,75.78571428571429,1.4285714285714286,0.32142857142857145,5.464285714285714,2734.6428571428573,360.0740740740741,11.571428571428571,12.0,5653.214285714285,719.8571428571429,1754.2857142857142,580.7142857142857,12,19,10,1,9,16,20,23,6,5,7
PRV51066,False,69.04166666666667,1.1666666666666667,0.08333333333333333,3.625,1032.9166666666667,93.16666666666667,12.0,12.0,5000.0,442.1666666666667,1150.0,563.3333333333334,12,14,7,2,6,7,13,17,7,6,2
PRV51067,True,68.48275862068965,1.2758620689655173,0.22413793103448276,4.189655172413793,5767.586206896552,225.79310344827587,11.586206896551724,11.568965517241379,12108.965517241379,736.551724137931,1909.655172413793,341.8965517241379,17,37,25,12,14,33,41,43,21,15,3
PRV51068,False,71.25670498084291,1.2796934865900382,0.011494252873563218,3.1379310344827585,548.8888888888889,34.55384615384615,11.954022988505747,11.908045977011493,2822.4137931034484,410.68199233716473,1907.9310344827586,572.2528735632184,99,150,101,39,72,105,186,182,78,76,31
PRV51070,False,70.54545454545455,1.4646464646464648,0.06060606060606061,3.303030303030303,1266.7676767676767,110.9090909090909,11.878787878787879,12.0,5531.313131313132,528.6060606060606,2945.050505050505,791.3131313131313,29,54,36,17,23,38,70,74,24,16,12
PRV51071,False,69.04166666666667,1.1666666666666667,0.0,2.7916666666666665,356.25,2.0833333333333335,11.5,11.541666666666666,4195.833333333333,267.0,2279.1666666666665,440.8333333333333,12,14,8,2,9,14,18,21,10,5,4
PRV51072,False,72.75471698113208,1.3820754716981132,0.02830188679245283,3.3679245283018866,562.122641509434,57.71563981042654,11.943396226415095,11.900943396226415,4227.924528301887,634.0188679245283,2049.622641509434,600.2358490566038,76,118,94,25,75,74,157,160,73,70,18
PRV51074,False,73.58974358974359,1.5128205128205128,0.02564102564102564,3.948717948717949,1055.6410256410256,138.97435897435898,12.0,11.692307692307692,5348.717948717948,450.97435897435895,1971.7948717948718,662.8205128205128,15,23,18,6,13,18,28,34,14,10,1
PRV51075,False,77.29411764705883,1.0588235294117647,0.0,2.4705882352941178,502.94117647058823,4.117647058823529,11.294117647058824,11.294117647058824,2450.0,188.47058823529412,2908.823529411765,761.7647058823529,3,6,4,7,4,10,14,16,3,8,1
PRV51076,False,76.10344827586206,1.2758620689655173,0.0,2.689655172413793,352.7586206896552,1.7241379310344827,11.586206896551724,11.793103448275861,4734.137931034483,532.8275862068965,2123.448275862069,566.551724137931,13,17,12,8,5,11,22,26,9,11,4
PRV51077,True,70.84848484848484,1.393939393939394,0.24242424242424243,5.454545454545454,6192.424242424242,506.875,12.0,11.969696969696969,9130.30303030303,1035.6363636363637,2504.5454545454545,781.2121212121212,16,24,20,5,12,21,28,29,16,13,4
PRV51078,False,71.26086956521739,1.391304347826087,0.34782608695652173,5.260869565217392,3403.0434782608695,392.90909090909093,12.0,12.0,4907.391304347826,650.0869565217391,952.6086956521739,370.8695652173913,7,14,7,3,8,10,16,16,7,5,4
PRV51081,False,72.74,1.065,0.045,3.23,620.4,35.84,11.76,11.755,4745.05,421.86,2594.9,767.15,96,128,104,17,54,87,134,164,57,55,27
PRV51082,False,73.08823529411765,1.088235294117647,0.0,2.764705882352941,160.88235294117646,2.0588235294117645,12.0,12.0,6767.058823529412,376.94117647058823,5270.882352941177,601.0294117647059,14,15,13,2,6,12,29,22,8,7,3
PRV51083,False,75.23333333333333,1.3111111111111111,0.0,2.8777777777777778,201.11111111111111,1.5555555555555556,11.8,11.866666666666667,4015.8888888888887,401.2,2090.0,519.1111111111111,37,55,43,13,28,47,65,73,30,23,10
PRV51084,True,72.7909090909091,1.290909090909091,0.12727272727272726,3.618181818181818,1959.8181818181818,199.0,12.0,11.945454545454545,5070.0,591.6363636363636,1378.0,396.6363636363636,51,65,42,9,29,38,87,82,28,43,14
PRV51086,False,75.14388489208633,1.158273381294964,0.17266187050359713,4.532374100719425,3209.856115107914,238.61870503597123,12.0,11.971223021582734,6954.3165467625895,613.2086330935252,2327.1942446043167,817.2661870503597,46,79,66,21,47,63,100,109,34,39,10
PRV51089,False,71.53070175438596,1.412280701754386,0.07456140350877193,3.3464912280701755,1012.719298245614,82.36123348017621,11.868421052631579,11.947368421052632,6256.798245614035,607.9824561403509,2025.482456140351,612.4122807017544,77,129,103,33,68,102,152,169,79,65,24
PRV51090,False,72.14285714285714,1.0,0.0,2.7142857142857144,832.8571428571429,8.571428571428571,12.0,12.0,714.2857142857143,152.57142857142858,2831.4285714285716,735.7142857142857,1,2,2,3,1,2,6,5,3,5,0
PRV51091,False,69.38636363636364,1.5227272727272727,0.0,3.227272727272727,210.6818181818182,1.8181818181818181,11.727272727272727,11.795454545454545,7451.363636363636,715.8181818181819,2429.090909090909,629.0454545454545,12,29,14,5,15,24,29,36,12,16,6
PRV51093,False,76.33333333333333,1.4444444444444444,0.2222222222222222,4.333333333333333,1523.3333333333333,237.33333333333334,12.0,12.0,4688.888888888889,593.3333333333334,900.0,326.6666666666667,3,4,4,1,4,4,6,8,4,3,1
PRV51096,False,85.4,1.4,0.0,1.8,640.0,20.0,12.0,12.0,4800.0,854.4,3372.0,1004.0,3,4,3,0,1,3,4,3,2,1,0
PRV51097,False,71.32,1.0,0.0,2.736,355.36,1.84,11.904,11.96,3302.88,397.824,3009.44,768.16,47,51,42,18,34,41,90,95,39,24,9
PRV51098,False,82.5,1.0,0.0,3.5,75.0,0.0,12.0,9.75,15500.0,1335.0,2297.5,580.0,0,4,2,1,2,2,4,4,1,3,1
PRV51100,False,71.2,2.0,0.8,9.6,15600.0,1068.0,12.0,12.0,15738.0,1068.0,742.0,236.0,1,4,2,0,1,1,3,4,0,2,0
PRV51101,False,57.666666666666664,1.0,0.3333333333333333,8.0,5533.333333333333,1068.0,12.0,12.0,9200.0,1780.0,173.33333333333334,110.0,2,3,3,0,1,1,2,3,2,1,1
PRV51102,False,80.33333333333333,1.6666666666666667,0.9166666666666666,9.166666666666666,12333.333333333334,1068.0,12.0,12.0,14833.333333333334,1424.0,739.1666666666666,153.33333333333334,4,8,8,1,3,4,9,11,1,6,2
PRV51103,True,77.5,0.8333333333333334,0.0,1.8333333333333333,73.33333333333333,10.0,12.0,12.0,1333.3333333333333,178.0,1138.3333333333333,478.3333333333333,3,4,6,0,3,5,6,6,4,6,0
PRV51104,False,79.33333333333333,1.0,0.0,2.4166666666666665,158.33333333333334,9.166666666666666,12.0,12.0,2750.0,356.0,1849.1666666666667,405.0,7,10,3,0,6,5,9,11,5,4,0
PRV51105,False,76.58333333333333,1.0833333333333333,0.0,2.4166666666666665,545.0,0.0,12.0,12.0,8048.333333333333,534.0,4275.0,974.1666666666666,6,10,7,3,4,5,11,8,4,3,0
PRV51108,False,72.47368421052632,1.105263157894737,0.3157894736842105,8.263157894736842,8210.526315789473,1068.0,12.0,11.368421052631579,13471.052631578947,2184.4210526315787,2044.2105263157894,477.89473684210526,11,13,13,4,11,9,16,17,10,4,5
PRV51109,False,56.666666666666664,1.6666666666666667,1.3333333333333333,9.333333333333334,6000.0,1068.0,12.0,12.0,7833.333333333333,1780.0,1070.0,676.6666666666666,2,2,3,0,2,3,3,3,3,3,1
PRV51110,False,68.4,1.6,0.8,10.4,5400.0,1068.0,12.0,12.0,5456.0,1281.6,1188.0,274.0,3,4,4,0,1,4,5,5,1,1,0
PRV51111,False,73.12878787878788,1.25,0.0,3.0303030303030303,415.6060606060606,1.5151515151515151,11.909090909090908,11.984848484848484,2891.212121212121,372.1818181818182,3962.121212121212,1025.378787878788,49,72,69,27,38,54,101,91,38,36,18
PRV51112,False,71.74342105263158,1.3782894736842106,0.0,2.8552631578947367,346.2171052631579,2.664473684210526,12.0,11.983552631578947,4266.2171052631575,398.9342105263158,3500.4934210526317,859.6875,114,171,131,42,87,119,223,221,97,99,22
PRV51113,False,71.96212121212122,1.196969696969697,0.007575757575757576,2.946969696969697,351.43939393939394,4.166666666666667,11.818181818181818,11.909090909090908,2906.6666666666665,356.0,3128.560606060606,767.3484848484849,48,69,54,15,47,36,96,106,40,46,5
PRV51114,False,70.8206106870229,1.1870229007633588,0.0,2.732824427480916,292.82442748091603,2.1374045801526718,11.954198473282442,12.0,3903.587786259542,507.64885496183206,2914.8473282442746,713.5114503816794,90,166,101,35,84,107,202,201,76,95,18
PRV51115,False,73.14285714285714,1.4285714285714286,0.0,2.142857142857143,140.0,2.857142857142857,12.0,12.0,4142.857142857143,762.8571428571429,1530.0,474.2857142857143,3,3,2,1,3,5,6,4,0,2,0
PRV51117,False,69.16666666666667,1.25,0.0,2.5,162.5,0.0,12.0,12.0,5791.666666666667,534.0,4857.5,701.6666666666666,3,12,7,5,5,5,11,12,3,5,1
PRV51118,False,67.625,1.3125,0.875,8.5,8500.0,1068.0,12.0,12.0,21635.0,1847.75,7256.25,450.3125,4,12,8,2,7,8,13,13,8,4,2
PRV51119,True,75.3578947368421,1.4631578947368422,0.7894736842105263,8.74736842105263,11374.526315789473,1065.7692307692307,11.74736842105263,11.873684210526315,23562.315789473683,2028.8842105263159,4823.0526315789475,506.36842105263156,47,68,52,21,44,50,75,82,31,27,12
PRV51120,False,61.42857142857143,1.0,0.7142857142857143,9.857142857142858,7428.571428571428,1068.0,12.0,12.0,13302.857142857143,1487.4285714285713,470.0,145.71428571428572,4,6,3,2,2,3,6,5,2,1,1
PRV51121,False,66.57142857142857,1.5714285714285714,0.7142857142857143,7.428571428571429,11582.857142857143,915.4285714285714,12.0,11.857142857142858,16607.14285714286,1220.5714285714287,5070.0,1382.857142857143,3,2,5,1,1,2,5,7,3,2,0
PRV51122,False,67.14285714285714,1.0,0.0,2.0,160.0,0.0,12.0,12.0,1005.7142857142857,152.57142857142858,3861.4285714285716,1172.857142857143,2,3,1,1,2,3,4,3,0,1,0
PRV51123,False,69.41935483870968,1.1290322580645162,0.03225806451612903,3.774193548387097,868.0645161290323,70.19354838709677,12.0,12.0,3292.5806451612902,585.6774193548387,4735.1612903225805,1222.9032258064517,14,19,12,1,12,14,23,23,4,10,1
PRV51125,False,71.22916666666667,1.3125,0.20833333333333334,4.083333333333333,2735.625,272.8333333333333,12.0,12.0,6520.416666666667,778.75,2234.375,577.2916666666666,19,28,24,5,11,18,36,35,10,13,10
PRV51126,True,70.25,1.65,0.7,8.85,8850.0,1068.0,12.0,12.0,18870.0,2453.0,6082.5,1647.5,12,18,13,1,8,11,15,20,9,4,2
PRV51128,False,68.62,1.46,0.06,4.26,2044.4,106.8,11.88,11.76,9700.8,811.68,2007.2,625.4,21,33,24,18,17,22,36,38,21,15,5
PRV51129,False,74.08333333333333,1.375,0.0,2.7604166666666665,238.75,5.0,11.6875,11.75,4439.791666666667,445.0,2546.9791666666665,588.0208333333334,36,53,37,13,24,37,66,81,24,24,7
PRV51130,False,62.42857142857143,1.1428571428571428,0.0,3.4285714285714284,710.0,0.0,12.0,10.285714285714286,2865.714285714286,600.5714285714286,1795.7142857142858,868.5714285714286,2,4,3,1,3,6,2,6,0,3,3
PRV51131,False,74.875,1.375,0.0,3.75,145.0,8.75,12.0,12.0,3752.5,667.5,973.75,332.5,3,3,3,1,3,4,7,5,1,2,1
PRV51132,False,74.625,1.125,0.125,2.5,666.25,133.5,9.0,9.0,875.0,267.0,1133.75,692.5,1,3,3,0,0,1,4,4,3,0,0
PRV51134,False,63.93333333333333,1.0,0.0,2.3333333333333335,507.3333333333333,5.333333333333333,12.0,12.0,2164.6666666666665,284.8,7354.0,1463.3333333333333,10,9,7,1,5,8,10,9,2,4,0
PRV51135,False,68.2,1.0,0.0,2.0,60.0,0.0,12.0,12.0,800.0,213.6,364.0,96.0,0,1,1,4,5,0,1,5,4,0,0
PRV51136,False,71.0,1.0,2.0,10.0,20000.0,1068.0,12.0,12.0,20000.0,1068.0,400.0,220.0,0,0,0,0,0,0,1,1,0,0,0
PRV51137,False,72.50909090909092,1.4181818181818182,0.01818181818181818,2.9454545454545453,291.8181818181818,24.509090909090908,11.781818181818181,11.981818181818182,4284.363636363636,606.5454545454545,1896.5454545454545,599.6363636363636,22,38,18,9,19,24,46,42,24,22,2
PRV51138,False,73.0,1.6153846153846154,0.038461538461538464,2.923076923076923,516.5384615384615,41.07692307692308,11.538461538461538,11.538461538461538,7255.384615384615,698.3076923076923,1672.3076923076924,421.15384615384613,6,17,8,4,6,11,9,20,9,10,2
PRV51139,False,74.76744186046511,1.302325581395349,0.023255813953488372,3.7906976744186047,1222.7906976744187,174.7906976744186,11.906976744186046,12.0,4144.418604651163,521.5813953488372,2857.906976744186,716.7441860465116,15,26,16,7,12,24,33,32,12,8,3
PRV51140,False,73.36550308008214,1.5585215605749487,0.0513347022587269,3.3429158110882957,930.4517453798768,103.74074074074075,11.926078028747433,11.979466119096509,5292.525667351129,656.4681724845996,2471.3141683778235,697.4743326488706,184,295,187,74,158,202,349,359,148,156,51
PRV51141,False,74.94366197183099,1.2394366197183098,0.0,3.1690140845070425,274.50704225352115,2.3943661971830985,11.32394366197183,12.0,4550.704225352113,300.84507042253523,1347.1830985915492,407.46478873239437,18,36,19,7,18,26,46,43,13,14,5
PRV51142,False,73.3529411764706,1.1764705882352942,0.11764705882352941,3.235294117647059,2050.392156862745,147.76470588235293,12.0,11.980392156862745,6310.196078431372,732.9411764705883,2528.0392156862745,683.5294117647059,17,33,22,6,14,18,33,41,14,7,8
PRV51143,False,72.62337662337663,1.2077922077922079,0.0,2.792207792207792,265.5844155844156,4.545454545454546,11.844155844155845,11.948051948051948,4543.116883116883,443.84415584415586,1568.8311688311687,467.14285714285717,33,45,25,13,19,27,44,44,24,18,4
PRV51144,False,77.13333333333334,1.3666666666666667,0.1,3.3333333333333335,2040.6666666666667,149.73333333333332,12.0,12.0,4097.666666666667,391.6,2092.6666666666665,573.0,11,15,10,8,7,13,18,24,11,9,1
PRV51145,True,73.55940594059406,1.5594059405940595,0.6435643564356436,7.4504950495049505,7952.227722772277,846.4365482233502,11.94059405940594,12.0,16146.18811881188,1559.7623762376238,1350.7920792079208,420.0,103,136,105,41,83,91,149,164,70,71,34
PRV51146,True,74.57386363636364,1.4886363636363635,0.3181818181818182,5.525568181818182,4775.3125,490.48571428571427,11.914772727272727,11.965909090909092,9420.681818181818,1022.3579545454545,2211.903409090909,651.5056818181819,140,230,169,63,131,152,250,285,128,116,38
PRV51147,False,72.0,1.3125,0.0,3.03125,276.875,6.5625,12.0,11.875,3880.0,400.5,2430.9375,646.875,10,18,12,4,7,12,22,18,8,5,1
PRV51148,True,74.06363636363636,1.206060606060606,0.09393939393939393,3.6151515151515152,1480.7878787878788,110.3161094224924,11.963636363636363,11.957575757575757,4914.515151515152,517.2363636363636,2557.3636363636365,752.1212121212121,111,195,135,59,94,141,227,253,108,103,31
PRV51149,True,72.25,1.0810810810810811,0.5608108108108109,7.506756756756757,7572.1621621621625,837.5540540540541,11.837837837837839,11.932432432432432,14534.18918918919,1548.918918918919,2759.864864864865,761.6216216216217,65,105,91,19,71,76,111,122,62,54,25
